Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,rate
1:54,2016,,57%,0,0,1,0,0,Yan England,"Drama,Sport",Canada,French,106,Intermediate
2:22,2017,13+,22%,0,1,0,0,0,John Suits,Sci-Fi,United States,"English,French",91,Intermediate
3:19,2008,,,0,0,1,0,0,"IÃ±aki AntuÃ±ano,MartÃ­n RomÃ¡n",Short,Spain,Spanish,19,Intermediate
7:19,2016,,100%,1,0,0,0,0,,,,,94,Intermediate
11:11,2004,18+,,0,0,1,0,0,Evan Hara,"Short,Drama",United States,English,,Low
11:55,2017,18+,100%,0,0,1,0,0,"Ari Issler,Ben Snyder","Crime,Drama",United States,English,80,Low
23:59,2011,18+,,1,0,0,0,0,Gilbert Chan,Horror,Singapore,Mandarin,78,Low
1,2013,13+,,0,0,1,0,0,Paul Crowder,"Documentary,History,Sport",United States,English,112,High
3,2018,,,0,0,1,0,0,Sam Raimi,"Action,Adventure,Sci-Fi",United States,"English,French",139,Low
9,2009,13+,57%,1,0,0,0,0,Shane Acker,"Animation,Action,Adventure,Drama,Family,Horror,Mystery,Sci-Fi",United States,English,79,High
21,2008,13+,36%,1,0,0,0,0,Robert Luketic,"Crime,Drama,History,Thriller",United States,English,123,Intermediate
88,2015,,,0,0,1,0,0,Jon Avnet,"Crime,Drama,Mystery,Thriller","United States,Germany,Canada",English,108,Low
89,2017,,,1,0,0,0,0,Dave Stewart,Sport,United Kingdom,English,91,High
706,2019,13+,,1,0,0,0,0,Shravan Kumar,Thriller,India,Hindi,120,Low
730,2015,18+,,0,0,1,0,0,Tru,Drama,United States,English,104,High
1920,2008,,,1,0,1,0,0,Vikram Bhatt,"Horror,Mystery,Romance,Thriller",India,Hindi,138,Intermediate
1922,2017,18+,90%,1,0,0,0,0,Zak Hilditch,"Crime,Drama,Horror,Mystery,Thriller",United States,English,102,Intermediate
1945,2017,,97%,0,0,1,0,0,Ferenc TÃ¶rÃ¶k,Drama,Hungary,"Hungarian,Russian",91,High
1981,2009,,,0,0,1,0,0,Ricardo Trogi,"Comedy,Drama,Family,Romance",Canada,French,102,High
2012,2009,13+,39%,1,0,0,0,0,Roland Emmerich,"Action,Adventure,Sci-Fi",United States,"English,French,Tibetan,Mandarin,Russian,Hindi,Portuguese,Latin,Italian,Spanish",158,Intermediate
"2,215",2018,,,1,0,0,0,0,Nottapon Boonprakob,Documentary,Thailand,Thai,90,High
3022,2019,18+,,1,0,0,0,0,John Suits,Sci-Fi,United States,"English,French",91,Low
5150,2016,18+,,0,0,1,0,0,Michael Cory Davis,"Crime,Drama,Thriller",United States,English,80,Low
11/8/2016,2017,,75%,0,0,1,0,0,,News,,,,Low
22-Jul,2018,18+,80%,1,0,0,0,0,Paul Greengrass,"Crime,Drama,History,Thriller","Norway,Iceland,United States","English,Norwegian",143,Intermediate
15-Aug,2019,,,1,0,0,0,0,Swapnaneel Jaykar,Drama,India,,124,Intermediate
"""22"" A film about Veterans, Healthcare and Suicide.",2018,,,0,0,1,0,0,,,,,,
#cats_the_mewvie,2020,16+,,1,0,0,0,0,Michael Margolis,Documentary,Canada,English,90,Low
#LoveSwag,2015,13+,,0,0,1,0,0,Austin Davoren,"Short,Comedy,Drama,Romance",United States,English,2,Low
#realityhigh,2017,,,1,0,0,0,0,Fernando Lebrija,"Comedy,Drama,Romance",United States,English,99,Low
#Rucker50,2016,,,1,0,0,0,0,Robert McCullough Jr.,Documentary,United States,English,56,Low
#Selfie,2014,,,1,0,0,0,0,Cristina Jacob,Comedy,Romania,Romanian,123,Intermediate
#SquadGoals,2018,,,1,0,0,0,0,Danny J. Boyle,"Drama,Thriller",United States,English,90,Low
$ellebrity,2013,,63%,0,0,1,0,0,Kevin Mazur,Documentary,United States,English,89,Intermediate
(A)sexual,2011,,,0,0,1,0,0,Angela Tucker,"Documentary,Romance",United States,English,75,Intermediate
(T)ERROR,2015,,91%,1,0,1,0,0,"Lyric R. Cabral,David Felix Sutcliffe",Documentary,United States,English,84,Intermediate
...And Your Name Is Jonah,1979,7+,,0,0,1,0,0,Richard Michaels,Drama,United States,"English,American Sign Language,Brazilian Sign Language",100,High
[Indistinct Chatter],2018,,,0,0,1,0,0,,,,,,
1 Message,2011,,,0,0,1,0,0,Jefferson Moore,"Drama,Romance",United States,English,152,High
1 Night,2017,13+,33%,0,0,1,0,0,Minhal Baig,"Drama,Romance",United States,English,80,Intermediate
10 Days In Sun City,2017,,,1,0,1,0,0,Adze Ugah,"Adventure,Comedy,Romance","South Africa,Nigeria",English,87,Low
10 jours en or,2012,,,1,0,0,0,0,Nicolas Brossette,"Comedy,Drama",France,French,95,Intermediate
10 Minutes Gone,2019,18+,,0,0,1,0,0,Brian A. Miller,"Action,Crime,Mystery,Thriller","Canada,United States",English,89,Low
10 Rillington Place,1971,7+,58%,0,0,1,0,0,Richard Fleischer,"Biography,Crime,Drama,Thriller",United Kingdom,English,111,High
10.0 Earthquake,2014,7+,,0,1,0,0,0,David Gidali,"Action,Adventure,Drama,Sci-Fi,Thriller",United States,English,88,Low
100 Blocks,2016,,,0,0,1,0,0,Diaunte Thompson,Drama,United States,English,87,High
100 Bloody Acres,2012,18+,79%,0,0,1,0,0,"Cameron Cairnes,Colin Cairnes","Comedy,Horror",Australia,English,91,Intermediate
100 Days,1991,,,0,0,1,0,0,Partho Ghosh,"Horror,Romance,Thriller",India,Hindi,161,Intermediate
100 Days of Loneliness,2018,,,1,0,0,0,0,"JosÃ© DÃ­az,Gerardo Olivares","Documentary,Drama",Spain,Spanish,93,Intermediate
100 Meters,2016,,,1,0,0,0,0,Marcel Barrena,"Biography,Comedy,Drama","Portugal,Spain",Spanish,108,High
